N;n;m;#inst;#OPT;T_min;T_mean;T_max
15;7;2;125;125;7.4087700000000005;12.097860320000004;20.1317
15;3;2;125;125;3.31711;3.8854914399999987;4.82296
15;15;2;125;125;15.6665;26.932252;178.05
20;10;2;125;125;16.5201;31.03646079999999;153.884
20;5;2;125;125;8.06632;11.175112719999994;16.1291
20;20;2;125;125;41.6543;74.42925840000002;655.538
30;15;2;125;125;41.8913;150.06952959999995;1681.32
30;7;2;125;125;14.578000000000001;23.339043999999987;34.5585
30;30;2;125;125;134.601;910.4310079999998;16995.3
15;7;4;375;375;6.812180000000001;11.76670208;28.1867
15;3;4;375;375;0.714687;4.449351639999998;8.29834
15;15;4;375;375;18.9354;84.60628133333331;545.594
20;10;4;375;375;13.670699999999998;44.644739199999975;234.41899999999998
20;5;4;375;375;3.26676;8.677060399999997;17.1465
20;20;4;375;375;43.1825;824.3654405333332;19479.399999999998
30;15;4;375;375;44.3073;309.8458848;7116.450000000001
30;7;4;375;375;3.9438700000000004;22.14598311999999;35.5733
30;30;4;375;374;186.89700000000002;14962.915789333329;600003.0
