InstanceName	InstancePath	N	n	m_Max	m_0	V_max	V_0	Method	Time	LimitTime	Objective	status	OPT_Sum_Cj	nbNodes
instance0_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance0_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	4.93711	600	49	Optimal	1	1915
instance1_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance1_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	8.36726	600	41	Optimal	1	4277
instance2_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance2_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	38.8525	600	40	Optimal	1	7179
instance3_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance3_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	12.6423	600	40	Optimal	0	1942
instance4_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance4_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	233.802	600	41	Optimal	1	30849
instance5_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance5_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	4.20577	600	30	Optimal	1	1172
instance6_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance6_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	600.003	600	42	Feasible	1	15161
instance7_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance7_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	364.463	600	21	Optimal	0	41959
instance8_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance8_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	24.5788	600	48	Optimal	1	6443
instance9_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance9_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	61.4805	600	40	Optimal	0	7436
instance0_n_30_N_60_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance0_n_30_N_60_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	2.65108	600	39	Optimal	1	478
instance1_n_30_N_60_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance1_n_30_N_60_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	600.003	600	24	Feasible	1	67031
instance2_n_30_N_60_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance2_n_30_N_60_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	537.353	600	32	Optimal	0	41333
instance3_n_30_N_60_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0	/home/schau/Documents/These/code/bilevel-scheduling/instances/performances/instance3_n_30_N_60_tf_0.2_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt	60	30	1	1	2	1	MIP	2.59599	600	36	Optimal	0	1372
