InstanceName;InstancePath;sumCj;fonction objective (sum wjUj);fonction objective MIP;N;n;m;HighSpeed Scheduling;LowSpeed Scheduling;Heuristic name;Heuristic description;time;deviation;precision
instance0_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance0_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;11010;160;1;60;30;2;"M0 : 29, 28, 26, 25, 23, 22, 20, 19, 17, 16, 14, 13, 11, 10, 8, 7, 5, 4, 2, 1 | ";"M0 : 30, 27, 24, 21, 18, 15, 12, 9, 6, 3 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";0.000493;15900;0.00625
instance1_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance1_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;11441.5;172;1;60;30;2;"M0 : 29, 28, 26, 25, 23, 22, 20, 19, 17, 16, 14, 13, 11, 10, 8, 7, 5, 4, 2, 1 | ";"M0 : 30, 27, 24, 21, 18, 15, 12, 9, 6, 3 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";0.009715;17100;0.00581395
instance2_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance2_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;10485;129;1;60;30;2;"M0 : 29, 28, 26, 25, 23, 22, 20, 19, 17, 16, 14, 13, 11, 10, 8, 7, 5, 4, 2, 1 | ";"M0 : 30, 27, 24, 21, 18, 15, 12, 9, 6, 3 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";0.000435;12800;0.00775194
instance3_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance3_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;11022.5;174;1;60;30;2;"M0 : 17, 38, 56, 53, 9, 58, 43, 39, 32, 24, 8, 33, 7, 4, 21, 5, 3, 10, 18, 12 | ";"M0 : 13, 57, 2, 30, 50, 44, 19, 52, 26, 1 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";0.000468;17300;0.00574713
instance4_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance4_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;10572.5;168;1;60;30;2;"M0 : 3, 34, 36, 2, 33, 16, 48, 7, 53, 5, 9, 38, 17, 55, 50, 58, 41, 45, 40, 18 | ";"M0 : 13, 28, 8, 20, 60, 10, 44, 23, 14, 59 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";0.000493;16700;0.00595238
instance5_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance5_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;10211.5;136;1;60;30;2;"M0 : 25, 23, 16, 27, 30, 46, 10, 5, 59, 34, 60, 14, 47, 7, 4, 6, 17, 44, 38, 32 | ";"M0 : 35, 42, 52, 22, 43, 20, 13, 29, 15, 19 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";0.000547;13500;0.00735294
instance6_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance6_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;10625.5;155;1;60;30;2;"M0 : 39, 17, 16, 24, 48, 26, 56, 6, 5, 36, 12, 52, 35, 46, 4, 8, 19, 58, 49, 54 | ";"M0 : 2, 18, 3, 13, 59, 55, 14, 27, 21, 57 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";0.00046;15400;0.00645161
instance7_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance7_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;9921.5;148;1;60;30;2;"M0 : 21, 20, 3, 55, 15, 6, 30, 39, 27, 31, 58, 7, 10, 44, 47, 26, 13, 41, 56, 9 | ";"M0 : 43, 59, 36, 29, 48, 25, 34, 46, 17, 40 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";0.000487;14700;0.00675676
instance8_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance8_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;11308;161;1;60;30;2;"M0 : 49, 16, 55, 8, 60, 11, 18, 5, 19, 24, 36, 50, 43, 4, 6, 37, 52, 31, 44, 15 | ";"M0 : 30, 17, 28, 34, 56, 1, 57, 3, 51, 33 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";0.00081;16000;0.00621118
instance9_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance9_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;10701;152;1;60;30;2;"M0 : 7, 49, 24, 37, 57, 59, 40, 30, 42, 31, 25, 20, 17, 23, 32, 16, 41, 35, 52, 28 | ";"M0 : 27, 38, 12, 34, 36, 47, 13, 22, 3, 11 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";0.000457;15100;0.00657895
