InstanceName;InstancePath;sumCj;fonction objective (sum wjUj);fonction objective MIP;N;n;m;HighSpeed Scheduling;LowSpeed Scheduling;Heuristic name;Heuristic description;time;deviation;precision
instance0_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance0_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;3744.5;158;1;60;30;2;"M0 : 59, 58, 56, 55, 53, 52, 49, 48, 45, 42, 40, 39, 36, 34, 32, 31, 25, 24, 19, 15 | ";"M0 : 60, 57, 54, 51, 47, 41, 37, 33, 28, 22 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LWPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";3.1e-05;15700;0.00632911
instance1_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance1_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;3397;137;1;60;30;2;"M0 : 59, 58, 56, 55, 53, 52, 49, 48, 45, 44, 42, 41, 38, 36, 32, 30, 17, 16, 14, 6 | ";"M0 : 60, 57, 54, 50, 46, 43, 39, 34, 20, 15 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LWPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";2e-05;13600;0.00729927
instance2_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance2_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;3212.5;135;1;60;30;2;"M0 : 59, 58, 56, 55, 52, 51, 49, 47, 45, 44, 41, 40, 38, 37, 34, 32, 29, 28, 20, 11 | ";"M0 : 60, 57, 53, 50, 46, 42, 39, 36, 31, 23 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LWPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1.9e-05;13400;0.00740741
instance3_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance3_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;2646;128;1;60;30;2;"M0 : 55, 46, 51, 42, 34, 59, 15, 11, 54, 41, 45, 14, 47, 16, 20, 40, 13, 57, 30, 24 | ";"M0 : 27, 29, 23, 48, 60, 31, 37, 28, 6, 53 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LWPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";2.8e-05;12700;0.0078125
instance4_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance4_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;3394;163;1;60;30;2;"M0 : 42, 21, 4, 29, 19, 11, 1, 27, 57, 49, 26, 56, 51, 22, 15, 13, 28, 8, 20, 60 | ";"M0 : 39, 32, 6, 43, 37, 46, 52, 54, 3, 16 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LWPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";4.5e-05;16200;0.00613497
instance5_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance5_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;2169;113;1;60;30;2;"M0 : 18, 36, 39, 21, 53, 58, 41, 8, 28, 54, 45, 33, 50, 1, 40, 37, 51, 9, 25, 30 | ";"M0 : 56, 49, 26, 3, 48, 11, 31, 12, 55, 35 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LWPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1.8e-05;11200;0.00884956
instance6_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance6_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;3009;141;1;60;30;2;"M0 : 38, 40, 43, 60, 22, 15, 25, 41, 37, 44, 51, 50, 47, 23, 53, 32, 2, 17, 3, 13 | ";"M0 : 1, 33, 11, 28, 34, 7, 30, 10, 9, 24 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LWPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";2.2e-05;14000;0.0070922
instance7_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance7_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;2113;117;1;60;30;2;"M0 : 28, 22, 1, 53, 38, 16, 51, 37, 19, 33, 52, 11, 12, 23, 43, 21, 3, 55, 30, 39 | ";"M0 : 42, 8, 60, 14, 5, 2, 4, 18, 20, 6 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LWPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1.7e-05;11600;0.00854701
instance8_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance8_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;4169;164;1;60;30;2;"M0 : 46, 26, 47, 13, 41, 2, 35, 53, 27, 20, 7, 32, 39, 30, 18, 5, 19, 1, 57, 31 | ";"M0 : 54, 12, 10, 14, 21, 59, 22, 16, 56, 36 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LWPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1.6e-05;16300;0.00609756
instance9_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance9_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;3522;165;1;60;30;2;"M0 : 19, 18, 15, 8, 53, 48, 44, 50, 10, 46, 43, 14, 1, 6, 58, 27, 24, 37, 40, 47 | ";"M0 : 29, 4, 33, 5, 39, 60, 51, 26, 49, 12 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LWPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1.8e-05;16400;0.00606061
