InstanceName;InstancePath;sumCj;fonction objective (sum wjUj);fonction objective MIP;N;n;m;HighSpeed Scheduling;LowSpeed Scheduling;Heuristic name;Heuristic description;time;deviation;precision
instance0_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance0_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;3559.5;81;1;60;30;2;"M0 : 59, 58, 56, 55, 53, 52, 50, 49, 46, 45, 43, 41, 39, 38, 32, 30, 23, 20, 16, 14 | ";"M0 : 60, 57, 54, 51, 48, 44, 40, 35, 27, 18 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_SPT_EDD_WithVariableLateness 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";4.5e-05;8000;0.0123457
instance1_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance1_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;3865.5;81;1;60;30;2;"M0 : 59, 58, 56, 55, 53, 51, 49, 47, 44, 42, 39, 36, 31, 27, 22, 21, 14, 13, 8, 5 | ";"M0 : 60, 57, 54, 50, 46, 40, 35, 24, 18, 11 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_SPT_EDD_WithVariableLateness 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";3.3e-05;8000;0.0123457
instance2_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance2_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;3401;86;1;60;30;2;"M0 : 59, 58, 56, 55, 52, 51, 48, 47, 45, 44, 41, 39, 37, 36, 28, 27, 25, 19, 13, 8 | ";"M0 : 60, 57, 53, 50, 46, 42, 38, 30, 26, 15 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_SPT_EDD_WithVariableLateness 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";3.4e-05;8500;0.0116279
instance3_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance3_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;2865.5;70;1;60;30;2;"M0 : 55, 46, 51, 23, 59, 48, 15, 35, 60, 54, 31, 14, 47, 20, 6, 38, 9, 39, 7, 26 | ";"M0 : 27, 29, 34, 25, 11, 41, 37, 49, 56, 8 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_SPT_EDD_WithVariableLateness 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";3.2e-05;6900;0.0142857
instance4_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance4_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;3940.5;71;1;60;30;2;"M0 : 42, 21, 4, 29, 6, 43, 37, 57, 24, 12, 25, 51, 3, 28, 33, 48, 23, 58, 40, 18 | ";"M0 : 39, 32, 30, 27, 49, 46, 35, 2, 5, 14 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_SPT_EDD_WithVariableLateness 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";3.2e-05;7000;0.0140845
instance5_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance5_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;2529.5;64;1;60;30;2;"M0 : 18, 36, 39, 21, 53, 58, 41, 8, 28, 11, 57, 33, 40, 55, 35, 23, 27, 5, 6, 38 | ";"M0 : 56, 49, 26, 3, 48, 45, 12, 24, 42, 7 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_SPT_EDD_WithVariableLateness 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";3.2e-05;6300;0.015625
instance6_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance6_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;3079.5;57;1;60;30;2;"M0 : 38, 40, 43, 60, 22, 15, 25, 41, 31, 45, 42, 44, 30, 47, 9, 39, 26, 56, 58, 49 | ";"M0 : 1, 33, 11, 28, 34, 20, 51, 29, 18, 27 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_SPT_EDD_WithVariableLateness 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";3.1e-05;5600;0.0175439
instance7_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance7_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;2027;53;1;60;30;2;"M0 : 28, 22, 53, 60, 38, 16, 37, 5, 33, 2, 57, 4, 45, 24, 23, 18, 35, 43, 17, 41 | ";"M0 : 42, 8, 49, 14, 19, 11, 12, 50, 32, 29 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_SPT_EDD_WithVariableLateness 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";2.9e-05;5200;0.0188679
instance8_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance8_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;4300;71;1;60;30;2;"M0 : 46, 26, 47, 13, 41, 35, 42, 21, 20, 59, 25, 22, 38, 23, 58, 49, 34, 24, 37, 15 | ";"M0 : 54, 12, 10, 45, 27, 9, 29, 40, 11, 43 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_SPT_EDD_WithVariableLateness 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";4.7e-05;7000;0.0140845
instance9_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\instances60job\performances\instance9_n_30_N_60_tf_0.2_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0.txt;3877;112;1;60;30;2;"M0 : 19, 18, 15, 33, 48, 5, 50, 46, 43, 14, 1, 54, 21, 2, 56, 7, 12, 34, 42, 31 | ";"M0 : 29, 4, 53, 44, 60, 51, 6, 58, 24, 30 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_SPT_EDD_WithVariableLateness 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";3.9e-05;11100;0.00892857
