N;n;m;#inst;#OPT;T_min;T_mean;T_max;d_min;d_mean;d_max
15.0;7.0;2.0;125;0;0.009000000000000001;0.012711999999999987;0.061;53.5714;994.7313163265308;4500.0
15.0;3.0;2.0;125;4;0.006;0.00983999999999999;0.022;87.5;1110.773857142857;2200.0
15.0;15.0;2.0;125;83;0.007;0.01874399999999998;0.684;0.0;4.917376160000002;61.5385
20.0;10.0;2.0;125;0;0.008;0.01344799999999999;0.06999999999999999;59.375;859.5956330275231;6800.0
20.0;5.0;2.0;125;0;0.007;0.009679999999999996;0.016;262.5;1192.6851851851852;3100.0
20.0;20.0;2.0;125;73;0.008;0.01613599999999998;0.034999999999999996;0.0;3.7358639999999994;27.2727
30.0;15.0;2.0;125;0;0.008;0.015263999999999988;0.026;72.549;554.2617719999996;5600.0
30.0;7.0;2.0;125;0;0.007;0.013271999999999994;0.024;76.4706;1973.2722774193546;5100.0
30.0;30.0;2.0;125;74;0.009000000000000001;0.019807999999999992;0.052;0.0;2.640752727999999;34.5679
15.0;7.0;4.0;375;0;0.008;0.0200773333333333;0.103;57.6923;834.5976299999999;4600.0
15.0;3.0;4.0;375;21;0.007;0.01751199999999996;0.114;71.4286;698.302664516129;2200.0
15.0;15.0;4.0;375;201;0.013;0.03334133333333334;0.214;0.0;8.305730426666667;230.0
20.0;10.0;4.0;375;0;0.01;0.023594666666666632;0.092;68.4211;1183.1473999999996;6400.0
20.0;5.0;4.0;375;2;0.009000000000000001;0.020186666666666638;0.096;172.727;1009.4582954545454;2800.0
20.0;20.0;4.0;375;177;0.011;0.038058666666666685;1.221;0.0;5.994944101333334;76.6667
30.0;15.0;4.0;375;0;0.014;0.03491999999999996;0.207;36.2069;1243.065912624585;8900.0
30.0;7.0;4.0;375;1;0.008;0.03391199999999993;6.2090000000000005;73.3333;1602.4430811320753;4400.0
30.0;30.0;4.0;375;158;0.016;0.047397333333333326;0.11699999999999999;0.0;5.195957146666664;150.98
