InstanceName;InstancePath;sumCj;fonction objective (sum wjUj);fonction objective MIP;N;n;m;HighSpeed Scheduling;LowSpeed Scheduling;Heuristic name;Heuristic description;time;deviation;precision
instance0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\performances\n_7_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1\instance0.txt;510.5;19;0;15;7;2;"M0 : 7, 12, 13, 1, 2 | ";"M0 : 10, 11 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1.9e-05;1;0;
instance1;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\performances\n_7_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1\instance1.txt;892.5;35;2;15;7;2;"M0 : 12, 1, 7, 10, 8 | ";"M0 : 5, 13 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1e-05;16.5;0.0571429
instance2;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\performances\n_7_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1\instance2.txt;888;25;1;15;7;2;"M0 : 7, 5, 6, 8, 9 | ";"M0 : 2, 15 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1.3e-05;24;0.04
instance3;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\performances\n_7_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1\instance3.txt;710.5;15;1;15;7;2;"M0 : 15, 9, 14, 4, 10 | ";"M0 : 13, 1 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";9e-06;14;0.0666667
instance4;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\performances\n_7_N_15_tf_0.2_rdd_0.2_mMax_1_m0_1\instance4.txt;716.5;44;0;15;7;2;"M0 : 7, 6, 5, 2, 15 | ";"M0 : 9, 1 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1.2e-05;1;0;
instance0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\performances\n_7_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1\instance0.txt;742.5;24;7;15;7;2;"M0 : 2, 12, 15, 8, 4 | ";"M0 : 1, 7 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1.2e-05;2.42857;0.291667
instance1;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\performances\n_7_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1\instance1.txt;718.5;26;3;15;7;2;"M0 : 9, 12, 7, 15, 3 | ";"M0 : 13, 2 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1.3e-05;7.66667;0.115385
instance2;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\performances\n_7_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1\instance2.txt;761;23;3;15;7;2;"M0 : 8, 4, 5, 13, 6 | ";"M0 : 14, 7 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1.2e-05;6.66667;0.130435
instance3;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\performances\n_7_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1\instance3.txt;589;26;0;15;7;2;"M0 : 15, 6, 2, 8, 4 | ";"M0 : 13, 14 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1.2e-05;1;0;
instance4;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\performances\n_7_N_15_tf_0.2_rdd_0.4_mMax_1_m0_1\instance4.txt;535;24;0;15;7;2;"M0 : 11, 15, 4, 9, 10 | ";"M0 : 6, 12 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";8e-06;1;0;
instance0;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\performances\n_7_N_15_tf_0.2_rdd_0.6_mMax_1_m0_1\instance0.txt;773;36;5;15;7;2;"M0 : 5, 4, 8, 10, 13 | ";"M0 : 14, 3 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";1e-05;6.2;0.138889
instance1;C:\Users\benhi\source\repos\BiLevel_Scheduling_Industry_4.0\instances\performances\n_7_N_15_tf_0.2_rdd_0.6_mMax_1_m0_1\instance1.txt;858;43;4;15;7;2;"M0 : 5, 14, 11, 15, 4 | ";"M0 : 7, 8 | ";"LSolver - Best of All Decision && FSolver - Best 1-Swap Heuristic";"Applying the selection rules : L_LPTRule 
 and selecting the best solution from these selection rules
Checking 1-swap possibility with : F_LateToEarly 
 and choosing the 1-swap with highest improvement";9e-06;9.75;0.0930233
