N;n;m;#inst;#OPT;T_min;T_mean;T_max;d_min;d_mean;d_max
15.0;7.0;2.0;125;0;0.007;0.010223999999999997;0.020999999999999998;0.535714;8.014693519999998;45.0
15.0;3.0;2.0;125;4;0.005;0.006872000000000005;0.014;0.0;2.1000667199999996;22.0
15.0;15.0;2.0;125;83;0.006;0.008775999999999999;0.027;0.0;0.049173761600000004;0.615385
20.0;10.0;2.0;125;0;0.006;0.009200000000000002;0.032;0.59375;7.623673919999996;68.0
20.0;5.0;2.0;125;0;0.005;0.007528000000000006;0.025;1.0;3.3602000000000003;31.0
20.0;20.0;2.0;125;73;0.006;0.008152000000000006;0.019;0.0;0.0373586408;0.272727
30.0;15.0;2.0;125;0;0.007;0.009751999999999995;0.018000000000000002;0.72549;5.542617719999998;56.0
30.0;7.0;2.0;125;0;0.007;0.010087999999999996;0.026;0.764706;5.645715247999999;51.0
30.0;30.0;2.0;125;74;0.007;0.010431999999999995;0.023;0.0;0.026407527280000006;0.345679
15.0;7.0;4.0;375;0;0.005;0.00993333333333332;0.04;0.576923;3.972390519999999;46.0
15.0;3.0;4.0;375;21;0.004;0.009639999999999954;0.032;0.0;1.4385968693333333;22.0
15.0;15.0;4.0;375;175;0.006;0.013970666666666626;0.062;0.0;0.10401873493333326;2.3
20.0;10.0;4.0;375;0;0.005;0.010527999999999992;0.039;0.684211;7.61975345866667;64.0
20.0;5.0;4.0;375;2;0.007;0.012599999999999965;0.462;0.0;2.0617644000000004;28.0
20.0;20.0;4.0;375;160;0.007;0.012354666666666642;0.037;0.0;0.07436486154666663;0.766667
30.0;15.0;4.0;375;0;0.007;0.014767999999999958;0.06999999999999999;0.362069;10.261913032000002;89.0
30.0;7.0;4.0;375;1;0.006;0.010207999999999988;0.053;0.0;3.1207862213333333;44.0
30.0;30.0;4.0;375;130;0.009000000000000001;0.015085333333333296;0.041999999999999996;0.0;0.06087995536000002;1.5098
