N;n;m;#inst;#OPT;T_min;T_mean;T_max;d_min;d_mean;d_max
15.0;7.0;2.0;125;2;0.007;0.011719999999999998;0.09000000000000001;67.8571;728.100682653061;2700.0
15.0;3.0;2.0;125;63;0.006;0.01639199999999998;0.9510000000000001;187.5;865.2976428571428;2000.0
15.0;15.0;2.0;125;83;0.01;0.018375999999999976;0.192;0.0;4.917376160000002;61.5385
20.0;10.0;2.0;125;0;0.01;0.014663999999999984;0.028;73.3333;716.5048550458716;5400.0
20.0;5.0;2.0;125;31;0.008;0.011135999999999986;0.074;360.0;929.4136296296297;2100.0
20.0;20.0;2.0;125;73;0.009000000000000001;0.013255999999999988;0.052;0.0;3.7358639999999994;27.2727
30.0;15.0;2.0;125;0;0.012;0.015791999999999983;0.041999999999999996;90.2439;443.8459831999999;4100.0
30.0;7.0;2.0;125;9;0.007;0.010351999999999998;0.02;125.0;1144.1786774193547;3400.0
30.0;30.0;2.0;125;74;0.011;0.015767999999999987;0.036000000000000004;0.0;2.640752727999999;34.5679
15.0;7.0;4.0;375;32;0.007;0.017354666666666616;0.08600000000000001;50.0;617.9859646666666;2700.0
15.0;3.0;4.0;375;223;0.008;0.017581333333333306;0.183;142.857;643.2526774193549;2700.0
15.0;15.0;4.0;375;201;0.014;0.0385706666666667;0.11900000000000001;0.0;8.305730426666667;230.0
20.0;10.0;4.0;375;8;0.008;0.028130666666666634;0.11699999999999999;61.5385;829.6957921397378;4300.0
20.0;5.0;4.0;375;140;0.01;0.021183999999999984;0.21800000000000003;163.636;844.3412045454545;3100.0
20.0;20.0;4.0;375;177;0.011;0.043264000000000004;0.23800000000000002;0.0;5.994944101333334;76.6667
30.0;15.0;4.0;375;1;0.016;0.042743999999999956;0.325;77.7778;852.5966259136213;5800.0
30.0;7.0;4.0;375;106;0.008;0.023666666666666628;0.34900000000000003;213.333;1189.1951132075471;4000.0
30.0;30.0;4.0;375;158;0.016;0.07524533333333334;0.639;0.0;5.195957146666664;150.98
