N;n;m;#inst;#OPT;T_min;T_mean;T_max;d_min;d_mean;d_max
15.0;7.0;2.0;125;2;0.008;0.012551999999999994;0.033;0.0;5.908309352000002;27.0
15.0;3.0;2.0;125;63;0.007;0.009672000000000002;0.015000000000000001;0.0;1.35313336;20.0
15.0;15.0;2.0;125;83;0.007;0.012359999999999994;0.024;0.0;0.049173761600000004;0.615385
20.0;10.0;2.0;125;0;0.007;0.010999999999999996;0.019;0.733333;6.375922336;54.0
20.0;5.0;2.0;125;31;0.006;0.009047999999999999;0.016;0.0;2.5435334399999996;21.0
20.0;20.0;2.0;125;73;0.007;0.009447999999999998;0.017;0.0;0.0373586408;0.272727
30.0;15.0;2.0;125;0;0.009000000000000001;0.012383999999999992;0.022;0.902439;4.4384598319999995;41.0
30.0;7.0;2.0;125;9;0.008;0.010991999999999991;0.019;0.0;3.51756312;34.0
30.0;30.0;2.0;125;74;0.008;0.036071999999999986;2.978;0.0;0.026407527280000006;0.345679
15.0;7.0;4.0;375;32;0.006;0.014199999999999977;0.034999999999999996;0.0;3.0199438586666676;27.0
15.0;3.0;4.0;375;222;0.005;0.013167999999999978;0.030000000000000002;0.0;0.87308888;27.0
15.0;15.0;4.0;375;175;0.007;0.018154666666666618;0.321;0.0;0.10401873493333326;2.3
20.0;10.0;4.0;375;8;0.007;0.015266666666666637;0.034999999999999996;0.0;5.510030717333334;43.0
20.0;5.0;4.0;375;139;0.009000000000000001;0.01577066666666664;0.029;0.0;1.52669368;38.0
20.0;20.0;4.0;375;160;0.007;0.01609866666666663;0.036000000000000004;0.0;0.07436486154666663;0.766667
30.0;15.0;4.0;375;1;0.009000000000000001;0.020778666666666622;0.041;0.0;7.239174064000003;58.0
30.0;7.0;4.0;375;105;0.006;0.013999999999999974;0.029;0.0;2.2860624266666667;40.0
30.0;30.0;4.0;375;130;0.009000000000000001;0.018698666666666655;0.04;0.0;0.06087995536000002;1.5098
