N;n;m;#inst;#OPT;T_min;T_mean;T_max;d_min;d_mean;d_max
15.0;7.0;2.0;125;6;0.006;0.011167999999999997;0.041999999999999996;0.0;391.50440612244887;1700.0
15.0;3.0;2.0;125;88;0.005;0.007600000000000006;0.054;0.0;431.7262142857143;1200.0
15.0;15.0;2.0;125;83;0.005;0.0070400000000000055;0.02;0.0;4.917376160000002;61.5385
20.0;10.0;2.0;125;1;0.006;0.011879999999999996;0.022;14.2857;398.8426486238532;3300.0
20.0;5.0;2.0;125;50;0.005;0.01136799999999999;0.019;0.0;502.4074074074074;2000.0
20.0;20.0;2.0;125;73;0.005;0.024159999999999963;1.8439999999999999;0.0;3.7358639999999994;27.2727
30.0;15.0;2.0;125;0;0.008;0.029607999999999985;1.074;32.5;264.4699167999999;2500.0
30.0;7.0;2.0;125;33;0.006;0.011919999999999988;0.034999999999999996;0.0;557.6114838709677;2200.0
30.0;30.0;2.0;125;74;0.007;0.012135999999999987;0.024;0.0;2.640752727999999;34.5679
15.0;7.0;4.0;375;55;0.008;0.017173333333333297;0.08;0.0;372.70585866666664;2200.0
15.0;3.0;4.0;375;278;0.006;0.01192266666666664;0.062;0.0;371.34412903225814;1800.0
15.0;15.0;4.0;375;201;0.01;0.024031999999999977;0.10500000000000001;0.0;8.305730426666667;230.0
20.0;10.0;4.0;375;14;0.009000000000000001;0.021965333333333302;0.6769999999999999;0.0;481.4631061135371;3000.0
20.0;5.0;4.0;375;180;0.007;0.01447999999999998;0.111;0.0;443.4117090909092;2400.0
20.0;20.0;4.0;375;177;0.011;0.030463999999999956;0.869;0.0;5.994944101333334;76.6667
30.0;15.0;4.0;375;1;0.014;0.029151999999999963;0.098;51.7241;468.86023853820586;4000.0
30.0;7.0;4.0;375;138;0.008;0.024549333333333284;0.9359999999999999;100.0;689.0206981132076;2800.0
30.0;30.0;4.0;375;158;0.016;0.048863999999999984;0.19;0.0;5.195957146666664;150.98
