N;n;m;#inst;#OPT;T_min;T_mean;T_max;d_min;d_mean;d_max
15.0;7.0;2.0;125;6;0.006;0.008784000000000005;0.019;0.0;3.2453945440000007;17.0
15.0;3.0;2.0;125;88;0.004;0.005688000000000004;0.014;0.0;0.68353336;12.0
15.0;15.0;2.0;125;83;0.005;0.005888000000000004;0.027;0.0;0.049173761600000004;0.615385
20.0;10.0;2.0;125;1;0.006;0.008872000000000001;0.055;0.0;3.5979078960000006;33.0
20.0;5.0;2.0;125;50;0.005;0.008000000000000005;0.028;0.0;1.4851999999999999;20.0
20.0;20.0;2.0;125;73;0.004;0.007360000000000005;0.018000000000000002;0.0;0.0373586408;0.272727
30.0;15.0;2.0;125;0;0.008;0.011983999999999993;0.033;0.325;2.644699168;25.0
30.0;7.0;2.0;125;33;0.005;0.007960000000000007;0.022;0.0;1.88687648;22.0
30.0;30.0;2.0;125;74;0.007;0.010695999999999992;0.029;0.0;0.026407527280000006;0.345679
15.0;7.0;4.0;375;55;0.006;0.011202666666666644;0.034999999999999996;0.0;1.9741938159999999;22.0
15.0;3.0;4.0;375;277;0.005;0.008877333333333287;0.030000000000000002;0.0;0.50164448;18.0
15.0;15.0;4.0;375;175;0.006;0.010687999999999979;0.041;0.0;0.10401873493333326;2.3
20.0;10.0;4.0;375;14;0.007;0.012130666666666646;0.044;0.0;3.375503373333332;30.0
20.0;5.0;4.0;375;178;0.006;0.00983199999999999;0.052;0.0;0.9309364053333333;24.0
20.0;20.0;4.0;375;160;0.007;0.01177599999999998;0.044;0.0;0.07436486154666663;0.766667
30.0;15.0;4.0;375;1;0.009000000000000001;0.01665333333333328;0.037;0.0;4.161829082666666;40.0
30.0;7.0;4.0;375;137;0.007;0.011053333333333318;0.046;0.0;1.4764825866666667;28.0
30.0;30.0;4.0;375;130;0.009000000000000001;0.017607999999999964;0.101;0.0;0.06087995536000002;1.5098
