N;n;m;#inst;#OPT;T_min;T_mean;T_max;d_min;d_mean;d_max
15.0;7.0;2.0;125;31;0.008;0.016711999999999973;0.06499999999999999;0.0;206.80167306122453;1300.0
15.0;3.0;2.0;125;106;0.007;0.012871999999999991;0.104;0.0;312.6190214285715;900.0
15.0;15.0;2.0;125;83;0.01;0.014607999999999986;0.044;0.0;4.917376160000002;61.5385
20.0;10.0;2.0;125;11;0.01;0.02032799999999998;0.342;0.0;219.3866616513761;1400.0
20.0;5.0;2.0;125;75;0.009000000000000001;0.01711999999999998;0.155;0.0;216.1727777777778;633.333
20.0;20.0;2.0;125;73;0.009000000000000001;0.014815999999999985;0.171;0.0;3.7358639999999994;27.2727
30.0;15.0;2.0;125;3;0.013;0.023391999999999975;0.247;0.0;156.96978816000006;1800.0
30.0;7.0;2.0;125;56;0.01;0.016551999999999983;0.041;0.0;324.767;1500.0
30.0;30.0;2.0;125;74;0.011;0.01636799999999998;0.028;0.0;2.640752727999999;34.5679
15.0;7.0;4.0;375;175;0.009000000000000001;0.021066666666666633;0.128;0.0;185.65302240000003;1500.0
15.0;3.0;4.0;375;353;0.009000000000000001;0.018991999999999967;0.087;0.0;139.78493548387098;1400.0
15.0;15.0;4.0;375;201;0.015000000000000001;0.028842666666666673;0.707;0.0;8.305730426666667;230.0
20.0;10.0;4.0;375;90;0.009000000000000001;0.02707199999999997;0.103;0.0;238.95319558951962;2300.0
20.0;5.0;4.0;375;303;0.012;0.04532799999999994;8.939;0.0;118.3153;1000.0
20.0;20.0;4.0;375;177;0.011;0.031013333333333302;0.1;0.0;5.994944101333334;76.6667
30.0;15.0;4.0;375;25;0.018000000000000002;0.03929066666666666;0.383;0.0;230.7150429235879;2000.0
30.0;7.0;4.0;375;270;0.01;0.022183999999999978;0.253;0.0;281.9279811320755;1300.0
30.0;30.0;4.0;375;158;0.016;0.06960266666666666;0.257;0.0;5.195957146666664;150.98
