N;n;m;#inst;#OPT;T_min;T_mean;T_max;d_min;d_mean;d_max
15.0;7.0;2.0;125;31;0.006;0.012007999999999986;0.034;0.0;1.7733251168;13.0
15.0;3.0;2.0;125;106;0.005;0.007880000000000007;0.030000000000000002;0.0;0.422133304;9.0
15.0;15.0;2.0;125;83;0.005;0.007360000000000005;0.049;0.0;0.049173761600000004;0.615385
20.0;10.0;2.0;125;11;0.006;0.012511999999999987;0.053;0.0;2.0090516896;14.0
20.0;5.0;2.0;125;75;0.005;0.009999999999999998;0.019;0.0;0.6909332;6.33333
20.0;20.0;2.0;125;73;0.005;0.007520000000000006;0.034999999999999996;0.0;0.0373586408;0.272727
30.0;15.0;2.0;125;3;0.008;0.015543999999999988;0.049;0.0;1.5696978815999991;18.0
30.0;7.0;2.0;125;56;0.007;0.012551999999999985;0.027;0.0;1.1494221599999999;15.0
30.0;30.0;2.0;125;74;0.006;0.011351999999999989;0.039;0.0;0.026407527280000006;0.345679
15.0;7.0;4.0;375;171;0.006;0.012303999999999957;0.038;0.0;1.0001442362666666;15.0
15.0;3.0;4.0;375;352;0.005;0.011511999999999972;0.048;0.0;0.15555554666666668;14.0
15.0;15.0;4.0;375;175;0.006;0.01114666666666664;0.039;0.0;0.10401873493333326;2.3
20.0;10.0;4.0;375;88;0.007;0.015119999999999965;0.041999999999999996;0.0;1.788789237066667;23.0
20.0;5.0;4.0;375;301;0.006;0.012119999999999962;0.027;0.0;0.2801566186666667;10.0
20.0;20.0;4.0;375;160;0.007;0.012037333333333317;0.046;0.0;0.07436486154666663;0.766667
30.0;15.0;4.0;375;25;0.009000000000000001;0.019007999999999976;0.061;0.0;2.2220679578666673;20.0
30.0;7.0;4.0;375;268;0.008;0.015143999999999984;0.039;0.0;0.5851248800000001;13.0
30.0;30.0;4.0;375;130;0.01;0.016117333333333303;0.049;0.0;0.06087995536000002;1.5098
